Day,F8BT,MEHPPV,TPP_PFO
0,3.472860043,4.633838124,1.641066032
0,4.766460605,4.50031366,1.900659992
0,4.039687669,4.858454355,2.964576494
0,2.707170437,4.781157231,2.765949756
0,3.688594568,6.809138391,3.298758438
0,8.584404269,4.778829582,2.378797205
1,2.224782235,10.88556477,1.998404973
1,1.88296333,6.19510704,0.92477841
1,3.606555137,9.212450554,0.390924977
1,1.092203895,9.913916426,3.394822019
1,2.812896051,9.379034037,2.892787757
1,1.96428128,10.0573964,1.184659659
5,1.60E-19,6.355252611,2.492203334
5,1.01E-25,6.281724996,3.106796294
5,0.510939072,4.467192211,1.109761129
5,1.737784254,10.73455674,0.308232085
5,0.66943858,4.747009367,0.324738455
5,1.83E-15,6.814251375,0.908426287
9,1.537155595,4.435300711,5.323786584
9,1.326301274,4.026137377,4.163907238
9,0.984840964,3.40088413,1.602983329
9,1.448358306,2.546264323,2.555189838
9,0.723175814,2.937433993,2.180962749
9,0.000359868,0.119208001,0.175066705
12,0.669215403,2.517691754,5.879303272
12,2.912209836,3.219334946,6.415531461
12,0.880548395,0.915279043,1.066700085
12,0.277929347,0.136976516,0.498860309
12,0.917281709,2.422497181,7.546044145
12,1.158645716,0.964039911,1.393863338
